PVWatts Hourly PV Performance Data,,,,,,,,,,,
Requested Location,"31.997, -102.077",,,,,,,,,,
Location,"Lat, Lng: 32.01, -102.06",,,,,,,,,,
Latitude (DD),32.01,,,,,,,,,,
Longitude (DD),-102.06,,,,,,,,,,
Elevation (m),837.3599854,,,,,,,,,,
DC System Size (kW),120000,,,,,,,,,,
Module Type,Standard,,,,,,,,,,
Array Type,Fixed (open rack),,,,,,,,,,
Array Tilt (deg),25,,,,,,,,,,
Array Azimuth (deg),180,,,,,,,,,,
System Losses (%),14,,,,,,,,,,
DC to AC Size Ratio,1.2,,,,,,,,,,
Inverter Efficiency (%),96,,,,,,,,,,
Ground Coverage Ratio,NA,,,,,,,,,,
Albedo,From weather file,,,,,,,,,,
Bifacial,No (0),,,,,,,,,,
Monthly Irradiance Loss (%),,,,,,,,,,,
1,4,1,0,0,0,4.2,0.21,0,0,0,0
1,4,2,0,0,0,4.2,0.21,0,0,0,0
1,4,3,0,0,0,4.1,0.21,0,0,0,0
1,4,4,0,0,0,4.1,0.21,0,0,0,0
1,4,5,0,0,0,4.2,0.21,0,0,0,0
1,4,6,0,0,0,4.1,0.21,0,0,0,0
1,4,7,0,0,0,4.1,0.21,0,0,0,0
1,4,8,0,17,0,4.4,0.21,15.266,0.248,1479133.038,951093.967
1,4,9,0,85,0,4.8,0.21,79.413,1.236,8507247.546,7730174.434
1,4,10,0,94,2,4.9,0.21,85.782,3.315,9068626.893,8271661.879
1,4,11,10,184,4,5,0.21,183.069,6.767,19454126.47,18289161.91
1,4,12,83,266,6,5.5,0.21,348.134,10.951,37047618.41,35259246.48
1,4,13,83,262,8,5.9,0.21,343.236,12.661,36306394.1,34544286.69
1,4,14,149,238,8,5.8,0.21,377.041,13.19,40177354.37,38278083.45
1,4,15,620,104,7,5,0.21,547.076,15.333,59294725.54,56718050.15
1,4,16,261,95,6,3.9,0.21,238.986,10.221,25895017.67,24501826.73
1,4,17,101,27,4,3.3,0.21,55.21,5,4643039.576,4002890.717
1,4,18,0,0,3,3.6,0.21,0,3,0,0
1,4,19,0,0,2,3.8,0.21,0,2,0,0
1,4,20,0,0,1,4,0.21,0,1,0,0
1,4,21,0,0,1,4.6,0.21,0,1,0,0
1,4,22,0,0,1,4.9,0.21,0,1,0,0
1,4,23,0,0,1,4.5,0.21,0,1,0,0
1,5,0,0,0,1,3.7,0.21,0,1,0,0
1,5,1,0,0,0,2.4,0.21,0,0,0,0
1,5,2,0,0,0,1.5,0.21,0,0,0,0
1,5,3,0,0,0,2.2,0.21,0,0,0,0
1,5,4,0,0,0,3.8,0.21,0,0,0,0
1,5,5,0,0,0,4.8,0.21,0,0,0,0
1,5,6,0,0,0,4.8,0.21,0,0,0,0
1,5,7,0,0,0,5,0.21,0,0,0,0
1,5,8,393,39,1,5.9,0.21,173.262,3.306,17336465.28,16246537.88
1,5,9,688,70,4,6.9,0.21,461.135,9.678,51280823.81,48988112.82
1,5,10,325,175,6,7.3,0.21,426.185,11.023,46422086.5,44301539.89
1,5,11,153,248,8,7.4,0.21,394.251,12.585,42075770.52,40109231.18
1,5,12,265,267,10,7.4,0.21,533.531,16.204,56373455.51,53900292.34
1,5,13,962,76,11,7.2,0.21,923.787,21.99,96583153.34,92685200.7
1,5,14,963,64,11,6.8,0.21,844.51,21.473,88997671.16,85368502.32
1,5,15,926,53,11,5.9,0.21,685.963,20.394,73288720.82,70216182.54
1,5,16,820,41,8,3.9,0.21,458.654,16.116,49638039.85,47403539.24
1,5,17,509,21,4,2.3,0.21,134.343,6.871,11291400.12,10415673.41
1,5,18,0,0,2,1.9,0.21,0,2,0,0
1,5,19,0,0,2,1.7,0.21,0,2,0,0
1,5,20,0,0,1,1.5,0.21,0,1,0,0
1,5,21,0,0,1,1.4,0.21,0,1,0,0
1,5,22,0,0,1,1.4,0.21,0,1,0,0
1,5,23,0,0,0,1.4,0.21,0,0,0,0
1,6,0,0,0,0,1.5,0.21,0,0,0,0
1,6,1,0,0,0,1.5,0.21,0,0,0,0
1,6,2,0,0,-1,1.6,0.21,0,-1,0,0
1,6,3,0,0,-1,1.6,0.21,0,-1,0,0
1,6,4,0,0,-1,1.7,0.21,0,-1,0,0
1,6,5,0,0,-2,1.9,0.21,0,-2,0,0
1,6,6,0,0,-2,2,0.21,0,-2,0,0
1,6,7,0,0,-1,2.5,0.21,0,-1,0,0
1,6,8,207,40,0,3,0.21,118.678,2.357,11898383.86,11001149.31
1,6,9,815,49,2,3,0.21,498.517,12.173,55094861.24,52667003.75
1,6,10,918,60,5,2.9,0.21,717.509,19.863,76625141.68,73434380.75
1,6,11,968,66,8,2.7,0.21,870.101,26.625,89798896.59,86141337.14
1,6,12,977,73,10,2.6,0.21,940.413,30.472,95183399.8,91335046
1,6,13,978,72,11,2.8,0.21,934.002,30.627,94529260.07,90704085.04
1,6,14,955,68,12,2.9,0.21,844.518,29.464,86353757.81,82818273.33
1,6,15,900,60,11,2.4,0.21,678.856,26.386,70891936.82,67904326.13
1,6,16,782,48,9,1.6,0.21,453.082,21.078,48136991.53,45955679.02
1,6,17,463,24,6,1.4,0.21,131.136,9.411,11162156.22,10291009.14
1,6,18,0,0,4,1.5,0.21,0,4,0,0
1,6,19,0,0,2,1.6,0.21,0,2,0,0
1,6,20,0,0,2,1.5,0.21,0,2,0,0
1,6,21,0,0,1,1.4,0.21,0,1,0,0
1,6,22,0,0,1,1.3,0.21,0,1,0,0
1,6,23,0,0,0,1.2,0.21,0,0,0,0
1,7,0,0,0,0,1,0.21,0,0,0,0
